,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
448,2014-03-29 17:59:00,2014-03-30 09:58:00,14000,200,S08W152,12011,,03/29,18:12,,360,528,True,,,,
450,2014-04-02 18:49:00,2014-04-03 06:40:00,2400,200,,,,,,,,,False,,,,
453,2014-05-07 16:24:00,2014-05-07 23:18:00,16000,200,N11E53,12027,,05/07,16:24,,360,923,True,,,,
454,2014-05-08 03:21:00,2014-05-08 05:26:00,16000,1100,S09W108,12051,,05/08,03:24,,360,847,True,,,,
455,2014-05-09 02:40:00,2014-05-09 04:30:00,14000,500,S11W122,12051,,05/09,02:48,,360,1099,True,,,,
456,2014-05-10 04:32:00,2014-05-10 08:37:00,16000,400,S11W136,12051,,05/10,04:36,,360,1086,True,,,,
464,2014-08-28 17:05:00,2014-08-28 22:08:00,16000,600,S19E162,12157,,08/28,17:24,,360,766,True,,,,
465,2014-09-01 11:12:00,2014-09-01 20:05:00,16000,150,N14E127,12158,,09/01,11:12,,360,1901,True,,,,
468,2014-09-20 05:10:00,2014-09-20 05:30:00,14000,9700,S11W89,12164,,09/20,05:24,292,87,426,False,,,,
469,2014-09-22 06:13:00,2014-09-22 06:50:00,16000,4900,N14W142,12158,,09/22,06:12,342,252,618,False,,,,
471,2014-09-24 20:54:00,2014-09-24 23:48:00,16000,500,N13E179,EP,,09/24,21:30,,360,1350,True,,,,
